60200353;Freihofsiedlung
60200354;Kraftwerk Freudenau
60200355;Freyenthurmgasse
60200357;Friedensbrücke
60200358;Baumgarten
60200359;Friedensgasse
60200360;Mariabrunn Kirche
60200361;Friedjunggasse
60200362;Obkirchergasse
60200363;Friedrich-Engels-Platz
60200364;Friedstraße
60200365;Frödenplatz
60200366;Frömmlgasse
60200367;Fröschelgasse
60200368;Flurschützstraße
60200369;Fultonstraße
60200370;Funkengerngasse
60200371;Seegasse
60200372;Ottakringer Friedhof
60200373;Kaltenleutgebner Straße 10/63
60200374;Kaltenleutgebner Straße 137
60200375;Salvigasse
60200376;Gatterburggasse
60200377;Gattergasse
60200378;Gatterhölzl
60200379;Gaudenzdorfer Gürtel
60200380;Gaußplatz
60200381;Gaßmannstraße
60200382;Geiereckstraße
60200383;Geistingergasse
60200384;Gellertplatz
60200385;Gemeindeberggasse
60200386;Opelwerk
60200387;Genochplatz
60200388;Hanreitergasse
60200389;Gerhardusgasse
60200390;Geringergasse
60200391;Gernotgasse
60200392;Geroldgasse
60200393;Gersthof
60200394;Ehrenpreisgasse
60200395;Gersthofer Friedhof
60200396;Getreidemarkt
60200397;Geusaugasse
60200399;Zippererstraße
60200400;Heinrich-Drimmel-Platz
60200401;Stock im Weg
60200403;Gladiolenweg
60200404;Glanzing
60200405;Glatzgasse
60200406;Glawatschweg
60200407;Glockengasse
60200408;Gloriettegasse
60200409;Glossystraße
60200410;Gobergasse
60200411;Goethehof
60200412;Gogolgasse
60200413;Goldhammergasse
60200414;Gotthelfgasse
60200415;Graben, Petersplatz
60200416;Graf-Seilern-Gasse
60200417;Grasbergergasse
60200418;Grasgasse
60200419;Gredlerstraße
60200420;Gregor-Mendel-Straße
60200421;Gregorygasse
60200422;Eßling, Schippanisiedlung
60200423;Greutberggasse
60200424;Griegstraße
60200425;Enkplatz
60200426;Grinzing
60200427;Am Bahnhof
60200428;Grinzinger Straße
60200429;Lange Allee
60200430;Großer Biberhaufen
60200431;Großjedlersdorf
60200432;Großmarktstraße
60200434;Gruschaplatz
60200435;Gräßlplatz
60200436;Gumpendorfer Straße
60200437;Grenzgasse
60200438;Guneschgasse
60200439;Gunoldstraße
60200440;Guntherstraße
60200441;Eßling, Stadtgrenze
60200442;Gusenleithnergasse
60200443;Gustav-Pick-Gasse
60200444;Gutheil-Schoder-Gasse
60200445;Gutraterplatz
60200446;Gußhausstraße
60200447;Gußriegelstraße
60200448;Gymnasiumstraße
60200449;Günselgasse
60200450;Dornbach
60200451;Gütenbachstraße
60200453;Lusthaus
60200454;Doderergasse
60200455;Jasmingasse
60200456;Neulerchenfelder Str., Haberlgasse
60200457;Habsburgergasse
60200458;Beingasse
60200459;Hadersdorf, Hauptstraße
60200460;Hadersdorf
60200461;Oberzellergasse
60200462;Stammersdorfer Kellergasse
60200463;11. Haidequerstraße
60200464;7. Haidequerstraße
60200465;Haidestraße
60200466;Dreherstraße
60200467;Eckpergasse
60200468;Halteraugasse
60200469;Halterlacken
60200470;Hans-Mandl-Berufsschule
60200471;Empergergasse
60200472;Lützowgasse
60200473;Hardeggasse
60200474;Hardtgasse
60200475;Harrachgasse
60200476;Hartlebengasse
60200477;Haschafeld
60200478;Haselbrunnerstraße
60200479;Hasenleiten
60200482;Haspelmeistergasse
60200483;Haspingerplatz
60200484;Geiselbergstraße
60200485;Deinleingasse
60200486;Prater Hauptallee
60200487;Hausfeldstraße
60200488;Dreimarkstein
60200489;Hawlicekgasse
60200490;Heidenschuß/Am Hof
60200491;Heiligenstadt
60200493;Heiligenstädter Brücke
60200494;Heinestraße
60200495;Heinrich-von-Buol-Gasse
60200498;Helferstorferstraße
60200499;Hellingstraße
60200500;Dresdner Straße
60200501;Henriettenplatz
60200502;Herbeckstraße
60200503;Heringgasse
60200504;Speising, Hermesstraße
60200505;Hernals
60200506;Herrengasse
60200507;Hernalser Gürtel
60200508;Hernals, Wattgasse
60200509;Hertlgasse
60200510;Herzgasse
60200511;Hetzendorf
60200512;Freudenauer Hafenstraße
60200513;Hetzgasse
60200514;Heuberg
60200515;Heuberggasse
60200516;Heudörfelgasse
60200517;Schönbrunner Str., Kettenbrückengasse
60200520;Hietzing
60200521;Obere Waldandacht
60200522;Hildebrandgasse
60200523;Hillerstraße
60200524;Himberger Straße
60200525;Himmelmutterweg
60200526;Himmelstraße
60200527;Hintere Zollamtsstraße
60200528;Am Krautgarten
60200529;Hirschengasse
60200530;Hirschstetten, Ort
60200531;Blumengärten Hirschstetten
60200532;Hirschstetten
60200533;Fuchsienweg
60200534;Hochsatzengasse
60200535;Hoefftgasse
60200536;Hoferstiege
60200537;Hofherr-Schrantz-Gasse
60200538;Hofmannsthalgasse
60200539;Hofwiesengasse
60200540;Hohe Warte
60200541;Hohe-Wand-Wiese
60200542;Hohenbergstraße
60200543;Hohenfelsplatz
60200544;Hoher Markt
60200545;Hollergasse
60200546;Kollarzgasse
60200547;Holubstraße
60200548;Hopfengasse
60200549;Horeischygasse
60200550;Hosnedlgasse Süd
60200551;Hoßplatz
60200552;Hubermanngasse
60200553;Hubert-Gsur-Gasse
60200554;Hubertusdamm
60200555;Huflattichweg
60200556;Huglgasse
60200557;Hugo-Wolf-Park
60200558;Unter St. Veit, Hummelgasse
60200559;Husarenweg
60200560;Bhf. Hütteldorf
60200561;Pelargonienweg
60200562;Hütteldorfer Friedhof
60200563;Hüttenbrennergasse
60200564;Hüttergasse
60200565;Hämmerlegasse
60200566;Hänflingweg
60200567;Hänischgasse
60200568;Häußlergasse
60200569;Höchstädtplatz
60200570;Hödlgasse
60200571;Hörtengasse
60200572;Senekowitschgasse
60200574;Illgasse
60200575;Liesing, Industriegelände Süd
60200576;Liesing, Industriegelände West
60200577;Innocentiagasse
60200578;Innstraße
60200579;Invalidensiedlung
60200580;Inzersdorf, Friedhof
60200581;Inzersdorf, Großmarkt
60200582;Bhf. Blumental
60200584;Lieblgasse
60200585;Inzersdorf Lokalbahn
60200586;Inzersdorf, Zetschegasse
60200587;Lafnitzgasse
60200588;Oleandergasse
60200589;Jagdschloßgasse
60200590;Jahngasse
60200591;Jedlersdorf
60200592;Hosnedlgasse Nord
60200593;Trillergasse
60200594;Jeneweingasse
60200595;Jenbachgasse
60200596;Scheedgasse
60200597;Joachimsthalerplatz
60200598;Großjedlersdorf, Jochbergengasse
